time,nod1,nod2,pressure_diff,trend,total,total_nodal,total_wind,rate_slr
1890,1.0129229144727898,0.0,-1.195502967225498,-9.977829397907897,-10.160409450660605,1.0129229144727898,-1.195502967225498,
1891,0.9557559212219854,0.32411726600933,-1.1767743857277118,-9.773771455270754,-9.67067265376715,1.2798731872313154,-1.1767743857277118,2.0389772727074273
1892,0.7907076834712446,0.6116496956136737,-2.635800991398372,-9.570033943366411,-10.803477555679866,1.4023573790849184,-2.635800991398372,2.033917335122002
1893,0.5364080719811964,0.8301419771052602,-1.7003734449289944,-9.366987988246354,-9.700811384088892,1.3665500490864566,-1.7003734449289944,2.0256645726432065
1894,0.2215612338611995,0.954931726796416,-1.3043891373026215,-9.16490102883777,-9.292797205482776,1.1764929606576155,-1.3043891373026215,2.015082495592546
1895,-0.11829439689209574,0.9719332631877212,-3.523095081889784,-8.963971489127845,-11.633427704722003,0.8536388662956255,-3.523095081889784,2.003683824914342
1896,-0.4447975110972622,0.8792275326132986,-1.4996070573858966,-8.764164263854902,-9.829341299724762,0.4344300215160364,-1.4996070573858966,1.9929918666735613
1897,-0.7210939689980709,0.6872787230154604,-1.7178601311832584,-8.565373115793133,-10.317048492959001,-0.03381524598261043,-1.7178601311832584,1.9824815311019783
1898,-0.915996722659571,0.41775311550206495,-0.3886716701851996,-8.367667957634506,-9.254583234977211,-0.49824360715750604,-0.3886716701851996,1.9709599865526428
1899,-1.007506063626298,0.10107349618148495,-1.2655098039473955,-8.171181118482604,-10.343123489874813,-0.906432567444813,-1.2655098039473955,1.9594376502370192
1900,-0.9852928468020469,-0.22701482520612204,-1.6161449046099754,-7.975780427587102,-10.804233004205246,-1.212307672008169,-1.6161449046099754,1.950011596624508
1901,-0.8518643958895922,-0.5294787781547032,-2.728883042970967,-7.781178799157702,-11.891405016172964,-1.3813431740442954,-2.728883042970967,1.9429747030042366
1902,-0.6222814884541197,-0.7721776506519887,-2.8954973113121,-7.587185486986255,-11.877141937404463,-1.3944591391061083,-2.8954973113121,1.937473035882551
1903,-0.3224583660086574,-0.9277167325817557,0.04178524573835393,-7.393684191981192,-8.602074044833252,-1.2501750985904132,0.04178524573835393,1.9330894522715036
1904,0.01376234399237218,-0.9785395020806534,-1.5084205075025705,-7.200567596531954,-9.673765262122807,-0.9647771580882812,-1.5084205075025705,1.9297442021508537
1905,0.3484296251689858,-0.9189093233604737,-0.10610044110499296,-7.0077353515510215,-7.684315490847502,-0.5704796981914879,-0.10610044110499296,1.9273503332822717
1906,0.6437678048990532,-0.7555569712427433,0.6628330204338121,-6.8150975298755,-6.2640536757853775,-0.11178916634369018,0.6628330204338121,1.9257758663190305
1907,0.8664404950209518,-0.5069208928740111,-1.8465965945914218,-6.622580178287215,-8.109657170731696,0.3595196021469407,-1.8465965945914218,1.9239243541017803
1908,0.991313446933024,-0.20106596231512364,-1.2829363984962334,-6.430312659055144,-6.923001572933477,0.7902474846179004,-1.2829363984962334,1.9193706750068351
1909,1.0042915876594936,0.12748435077762266,-1.7896096273598794,-6.238706043285848,-6.896539732208612,1.1317759384371162,-1.7896096273598794,1.9104239473714557
1910,0.9039100055615422,0.44164482844191333,-0.6642922920141618,-6.0482278695808525,-5.366965327591559,1.3455548340034555,-0.6642922920141618,1.8964980961712907
1911,0.7014993026905325,0.7059545098293076,-0.10442788863981133,-5.85940642405159,-4.556380500171562,1.4074538125198401,-0.10442788863981133,1.877567649140941
1912,0.4199066495854803,0.8905793581022439,-2.079251647101745,-5.672714339752664,-6.441479979166685,1.3104860076877243,-2.079251647101745,1.8545646852643793
1913,0.09091690384911702,0.9746797865471722,0.3902169838717651,-5.488493486998714,-4.03267981273066,1.0655966903962892,0.3902169838717651,1.8289023307876384
