time,nod1,nod2,pressure_north,pressure_south,trend,total,total_nodal,total_wind,rate_slr
1890,1.174497113844857,0.0,-0.22109760211319313,-0.30758148611043795,-14.020593267193156,-13.37477524157193,1.174497113844857,-0.5286790882236311,
1891,1.1082112517906801,0.31980047863141486,-0.5790124880351504,-0.11969913759218893,-13.735713882624772,-13.006413777830016,1.428011730422095,-0.6987116256273393,2.848307501624303
1892,0.9168357027595676,0.6035033795650411,-0.606121439737742,-0.5790609245312185,-13.450931766868296,-13.115775048812647,1.5203390823246088,-1.1851823642689605,2.8459864893556386
1893,0.6219720408960335,0.81908565032339,-0.15211043492667803,-0.5063437977667565,-13.166516584753644,-12.383913126227656,1.4410576912194235,-0.6584542326934346,2.8391310258357194
1894,0.25690309301110653,0.9422133755781665,-0.654175892802865,-0.12290141927995243,-12.883105561701152,-12.461066405194696,1.199116468589273,-0.7770773120828175,2.825630304835798
1895,-0.13716387076315542,0.9589884753510134,-1.182595855140851,-0.5739619567322162,-12.601390523786485,-13.536123731071694,0.821824604587858,-1.7565578118730674,2.807215538402845
1896,-0.5157484203040446,0.8675174550792271,-0.7506812034156813,-0.1371850246176116,-12.321662454020583,-12.857759647278693,0.3517690347751825,-0.887866228033293,2.786717079408332
1897,-0.8361177077724385,0.6781251343987486,-0.9169792774212925,-0.12348601431426033,-12.044047107904818,-13.24250497301406,-0.15799257337369,-1.0404652917355528,2.7651867098168648
1898,-1.0621099509975735,0.41218922994210183,0.07435160972062498,-0.19602126706806655,-11.76862511205721,-12.540215490460124,-0.6499207210554717,-0.12166965734744158,2.7430569825648643
1899,-1.1682162057970378,0.09972733897755054,-0.15185469009933633,-0.36545639450450906,-11.495435711391846,-13.081235662815178,-1.0684888668194872,-0.5173110846038453,2.72158428019063
1900,-1.1424596959219777,-0.223991306144286,-0.300889988256546,-0.4034550717329152,-11.224308256019084,-13.29510431807481,-1.3664510020662637,-0.7043450599894612,2.7023138801149837
1901,-0.9877476953715371,-0.5224268634740877,-0.7330348103263137,-0.5447776735207025,-10.954972935368849,-13.74295997806149,-1.5101745588456248,-1.2778124838470162,2.683496245112913
1902,-0.7215433689431839,-0.7618933273979888,-1.3846726304972303,-0.2677965462772677,-10.687609006996501,-13.823514880112171,-1.4834366963411727,-1.6524691767744981,2.661147900004499
1903,-0.3738946121180581,-0.9153608469148247,-0.0032669453899978724,-0.017005276569720645,-10.422743355367949,-11.732271036360551,-1.2892554590328826,-0.020272221959718516,2.6331426544951686
1904,0.01595761441253824,-0.9655067284077709,-0.747829648590389,-0.14149154137016834,-10.160980476097468,-11.999850780053258,-0.9495491139952326,-0.8893211899605573,2.5988191911421943
1905,0.4040086202927067,-0.90667074003114,-0.2513777896752311,0.06107063800898608,-9.90297951713951,-10.595948788544188,-0.5026621197384333,-0.19030715166624504,2.559425793203509
1906,0.746457028503217,-0.745494012126389,0.41084786634934317,-0.02596906709542844,-9.649095317456766,-9.263253501826023,0.000963016376828052,0.3848787992539147,2.518257678866327
1907,1.0046488693071753,-0.5001694175857523,-1.1426740875864774,-0.0505870135391427,-9.399327981366245,-10.088109630770441,0.5044794517214231,-1.19326110112562,2.477191695252472
1908,1.1494406590104937,-0.19838804571124455,-1.0472812669727698,0.08373993433840377,-9.153656978406271,-9.166145697741388,0.9510526132992492,-0.963541332634366,2.4363449584892916
1909,1.1644889796758866,0.12578643803420622,-0.45580741744354486,-0.3810131179168054,-8.912058989668386,-8.458604107318644,1.2902754177100928,-0.8368205353603503,2.3964032487368225
1910,1.04809524746519,0.4357627387759939,-0.09188252807808107,-0.2009578473575361,-8.674376328658907,-7.48335871785334,1.4838579862411838,-0.2928403754356172,2.3592225607940875
1911,0.8133974408141823,0.6965521859268048,-0.21671157832357146,0.04400371075808856,-8.440214477509569,-7.1029727183340645,1.509949626740987,-0.1727078675654829,2.3263676350459583
1912,0.48688714706301434,0.878718090174676,-1.3537914425907673,-0.01879153917448468,-8.209102801649715,-8.216080546177277,1.3656052372376903,-1.372582981765252,2.298790236422903
1913,0.10541931636138022,0.961698418871577,-0.11125519875230742,0.15083845327337808,-7.980456430224988,-6.87375544047096,1.0671177352329573,0.03958325452107066,2.2777687407861746
1914,-0.2879477522009586,0.9361267418128262,0.10871092727945605,-0.08572767059992646,-7.75354905349248,-7.082386807201083,0.6481789896118676,0.022983256679529593,2.2657452828444136
1915,-0.648812629389288,0.8048894699363984,-0.18599662455489438,-0.45074231450604724,-7.527307373656106,-8.007969472169936,0.15607684054711046,-0.6367389390609416,2.264701758011136
1916,-0.9364425808485685,0.5828000507977138,1.354034789736396,-0.3682169821663741,-7.300608701890253,-6.668433424371086,-0.35364253005085466,0.9858178075700219,2.2747174757478117
1917,-1.1183712870615607,0.2949268961062371,0.6797955204455177,-0.49328784200112974,-7.072363878506543,-7.709300591017479,-0.8234443909553236,0.18650767844438798,2.2956976211599978
1918,-1.1740634891816075,-0.02623622298092369,0.19327295445358272,-0.1596464649348445,-6.8414691776582535,-8.008142400302047,-1.2002997121625312,0.03362648951873823,2.3281953038476377
1919,-1.0972329127109564,-0.3444379203041058,0.39038828015865884,-0.3503218786169407,-6.606724817737016,-8.008329249210359,-1.441670833015062,0.040066401541718144,2.372158680334815
1920,-0.8965518326742861,-0.6237610810989771,-0.6148807000755673,-0.01937613420879259,-6.3670374415912905,-8.521607189648915,-1.5203129137732632,-0.6342568342843599,2.4233391052134046
1921,-0.5946721878995213,-0.8326770174075522,0.7380094367785545,0.03413379792930514,-6.122056996694335,-6.777262967293549,-1.4273492053070735,0.7721432347078596,2.476504704643756
1922,-0.2256687364335274,-0.9476042784594065,0.3531774077745353,-0.029781925819028842,-5.871736500662539,-6.721614033599967,-1.173273014892934,0.3233954819555065,2.5285378907101297
1923,0.16880714328595645,-0.9555704142032843,0.6703009937290271,0.05353585756713678,-5.616349418552309,-5.6792758381734725,-0.7867632709173278,0.7238368512961638,2.577144962065283
1924,0.5442288646227411,-0.8556762446091981,-0.4892460536237969,-0.3580840015721451,-5.356307508249483,-6.515084943431882,-0.311447379986457,-0.847330055195942,2.6216979834272625
1925,0.8582205849471085,-0.6591973548917498,1.0673064765164273,-0.04107110548106192,-5.092009821866856,-3.8667512207761323,0.1990232300553587,1.0262353710353653,2.6623011887127435
1926,1.075340391947433,-0.3883113603500243,-0.2736531641403299,-0.19946388226994963,-4.823847270506934,-4.609935285319805,0.6870290315974086,-0.4731170464102795,2.699052173083576
1927,1.1710808204177097,-0.07359460119795268,-0.15547347940674686,-0.21742394082320554,-4.552199387250141,-3.8276105882603364,1.097486219219757,-0.3728974202299524,2.732013897519092
1928,1.1346351399542955,0.24942917127145106,0.08720278729656841,-0.07250932732476713,-4.2774444910031155,-2.8786867198055677,1.3840643112257467,0.014693459971801284,2.760656045757459
1929,0.9701171679845672,0.5442985490739115,-0.9253549205180587,-0.08075861280852202,-4.000068178098649,-3.4917659943667516,1.5144157170584787,-1.0061135333265807,2.783965184413071
1930,0.6960969213555093,0.7777300602100311,-0.2280986167627999,-0.27965083447248557,-3.7206514541205014,-2.7545739237902467,1.4738269815655403,-0.5077494512352855,2.8007013754343912
